,PassengerId,Survived,SibSp,Parch,Cabin_NO,Cabin_YES,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_scaled,Fare_scaled
0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,-0.5303766406838785,-0.5189778652472694
1,2,1,1,0,0,1,1,0,0,1,0,1,0,0,0.571830994003175,0.6918967500566985
2,3,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.25482473201211503,-0.5062135634647565
3,4,1,1,0,0,1,0,0,1,1,0,1,0,0,0.36516706249935255,0.34804915212786086
4,5,0,0,0,1,0,0,0,1,0,1,0,0,1,0.36516706249935255,-0.5038498038754023
6,7,0,0,0,0,1,0,0,1,0,1,1,0,0,1.6740386286902287,0.32464793219325394
7,8,0,3,1,1,0,0,0,1,0,1,0,0,1,-1.9081361840426954,-0.257546054664692
8,9,1,0,2,1,0,0,0,1,1,0,0,0,1,-0.1859367548441742,-0.4455443643405553
9,10,1,1,0,1,0,1,0,0,1,0,0,1,0,-1.0814804580274051,-0.08743478655338999
10,11,1,1,1,0,1,0,0,1,1,0,0,0,1,-1.7703602297068137,-0.3402776402920899
11,12,1,0,0,0,1,0,0,1,1,0,1,0,0,1.949590537361992,-0.15401338465097683
12,13,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.6681525950197601,-0.5038498038754023
13,14,0,1,5,1,0,0,0,1,0,1,0,0,1,0.6407189711711159,-0.06466327217338712
14,15,0,0,0,1,0,0,0,1,1,0,0,0,1,-1.0814804580274051,-0.5075523968961668
15,16,1,0,0,1,0,0,0,1,1,0,0,1,0,1.7429266058581694,-0.35351469399247354
16,17,0,4,1,1,0,0,1,0,0,1,0,0,1,-1.9081361840426954,-0.10531993711027979
18,19,0,1,0,1,0,0,0,1,1,0,0,0,1,0.08961515382758917,-0.31569454056280594
20,21,0,0,0,1,0,0,0,1,0,1,0,1,0,0.36516706249935255,-0.16441392684413544
21,22,1,0,0,0,1,0,0,1,0,1,0,1,0,0.2962790853314117,-0.410244924136975
22,23,1,0,0,1,0,0,1,0,1,0,0,0,1,-1.0125924808594644,-0.504243133471071
23,24,1,0,0,0,1,0,0,1,0,1,1,0,0,-0.11704877767623337,0.015231801946785766
24,25,0,3,1,1,0,0,0,1,1,0,0,0,1,-1.4948083210350502,-0.257546054664692
25,26,1,1,5,1,0,0,0,1,1,0,0,0,1,0.571830994003175,-0.0625358885429683
27,28,0,3,2,0,1,0,0,1,0,1,1,0,0,-0.7370405721877009,4.317274254571478
30,31,0,0,0,1,0,1,0,0,0,1,1,0,0,0.7096069483390568,-0.1318734668332494
33,34,0,0,0,1,0,0,0,1,0,1,0,1,0,2.500694354705519,-0.4575201159240595
34,35,0,1,0,1,0,1,0,0,0,1,1,0,0,-0.11704877767623337,0.8977802102894517
35,36,0,1,0,1,0,0,0,1,0,1,1,0,0,0.8473829026749384,0.32724806774154364
37,38,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5992646178518193,-0.5038498038754023
38,39,0,2,0,1,0,0,0,1,1,0,0,0,1,-0.8059285493556418,-0.31569454056280594
39,40,1,1,0,1,0,1,0,0,1,0,0,0,1,-1.0814804580274051,-0.4434945120246673
40,41,0,1,0,1,0,0,0,1,1,0,0,0,1,0.7096069483390568,-0.47690294455676413
41,42,0,1,0,1,0,0,0,1,1,0,0,1,0,-0.1859367548441742,-0.2589643104183045
43,44,1,1,2,1,0,1,0,0,1,0,0,1,0,-1.8392482068747544,0.13018994031160347
44,45,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.7370405721877009,-0.5070796449782959
49,50,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.8059285493556418,-0.3194765559057727
50,51,0,4,1,1,0,0,0,1,0,1,0,0,1,-1.5636962982029912,0.09441774819015235
51,52,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5992646178518193,-0.5085773230541109
